inner_yx,shard_yx,dtype,inner_chunks_per_2d_variable,shard_objects_per_2d_variable,raw_inner_chunk_mib,raw_full_shard_mib,inner_chunks_per_shard
256x256,2048x2048,uint8,386063,6204,0.0625,4.0,64
256x256,2048x2048,uint16,386063,6204,0.125,8.0,64
256x256,2048x2048,float32,386063,6204,0.25,16.0,64
256x256,4096x4096,uint8,386063,1588,0.0625,16.0,256
256x256,4096x4096,uint16,386063,1588,0.125,32.0,256
256x256,4096x4096,float32,386063,1588,0.25,64.0,256
512x512,4096x4096,uint8,96655,1588,0.25,16.0,64
512x512,4096x4096,uint16,96655,1588,0.5,32.0,64
512x512,4096x4096,float32,96655,1588,1.0,64.0,64
512x512,8192x8192,uint8,96655,422,0.25,64.0,256
512x512,8192x8192,uint16,96655,422,0.5,128.0,256
512x512,8192x8192,float32,96655,422,1.0,256.0,256
1024x1024,8192x8192,uint8,24362,422,1.0,64.0,64
1024x1024,8192x8192,uint16,24362,422,2.0,128.0,64
1024x1024,8192x8192,float32,24362,422,4.0,256.0,64
