table_name,column_name,label,logical_type,units,nonnull_mukeys,raster_mukeys,nonnull_fraction,proposed_encoding
mapunit,farmlndcl,Farm Class,Choice,,327766,330433,0.991928772247324,dictionary-coded categorical
mapunit,iacornsr,IA CSR,Integer,,12479,330433,0.037765598472307545,numeric
mapunit,interpfocus,Interpretive Focus,String,,71981,330433,0.21783841202301224,dictionary-coded categorical
mapunit,invesintens,Order of Mapping,Choice,,329629,330433,0.9975668289789458,dictionary-coded categorical
mapunit,lkey,Legend Key,Integer,,330433,330433,1.0,numeric
mapunit,mapunitlfw_h,Linear Feature Width - High Value,Integer,meters,2,330433,6.052664231478091e-6,numeric
mapunit,mapunitlfw_l,Linear Feature Width - Low Value,Integer,meters,72,330433,0.00021789591233321127,numeric
mapunit,mapunitlfw_r,Linear Feature Width - Representative Value,Integer,meters,17,330433,0.00005144764596756377,numeric
mapunit,mapunitpfa_h,Point Feature Area - High Value,Float,acres,9,330433,0.00002723698904165141,numeric
mapunit,mapunitpfa_l,Point Feature Area - Low Value,Float,acres,10,330433,0.000030263321157390454,numeric
mapunit,mapunitpfa_r,Point Feature Area - Representative Value,Float,acres,9,330433,0.00002723698904165141,numeric
mapunit,muacres,Total Acres,Integer,acres,328959,330433,0.9955391864614006,numeric
mapunit,mucertstat,Map Unit Certification Status,Choice,,1033,330433,0.003126201075558434,dictionary-coded categorical
mapunit,muhelcl,HEL,Choice,,0,330433,0.0,dictionary-coded categorical
mapunit,mukind,Kind,Choice,,330080,330433,0.9989317047631441,dictionary-coded categorical
mapunit,muname,Mapunit Name,String,,330433,330433,1.0,dictionary-coded categorical
mapunit,mustatus,Status,Choice,,1050,330433,0.0031776487215259977,dictionary-coded categorical
mapunit,musym,Mapunit Symbol,String,,330433,330433,1.0,dictionary-coded categorical
mapunit,muwathelcl,HEL Water,Choice,,0,330433,0.0,dictionary-coded categorical
mapunit,muwndhelcl,HEL Wind,Choice,,0,330433,0.0,dictionary-coded categorical
