table_name,column_sequence,column_name,label,logical_type,field_size,precision,units,domain_name
chaashto,1,aashtocl,AASHTO,Choice,254,,,aashto_group_classification
chaashto,2,rvindicator,RV?,Boolean,3,,,
chaashto,3,chkey,Chorizon Key,String,254,,,
chaashto,4,chaashtokey,Chorizon AASHTO Key,String,254,,,
chconsistence,1,rupresblkmst,Rupture Moist,Choice,254,,,rupture_resist_block_moist
chconsistence,2,rupresblkdry,Rupture Dry,Choice,254,,,rupture_resist_block_dry
chconsistence,3,rupresblkcem,Rupture Cement,Choice,254,,,rupture_resist_block_cem
chconsistence,4,rupresplate,Rupture Plate,Choice,254,,,rupture_resist_plate
chconsistence,5,mannerfailure,Manner of Failure,Choice,254,,,manner_of_failure
chconsistence,6,stickiness,Stickiness,Choice,254,,,stickiness
chconsistence,7,plasticity,Plasticity,Choice,254,,,plasticity
chconsistence,8,rvindicator,RV?,Boolean,3,,,
chconsistence,9,chkey,Chorizon Key,String,254,,,
chconsistence,10,chconsistkey,Chorizon Consistence Key,String,254,,,
chdesgnsuffix,1,desgnsuffix,Suffix,Choice,254,,,horz_desgn_letter_suffix
chdesgnsuffix,2,chkey,Chorizon Key,String,254,,,
chdesgnsuffix,3,chdesgnsfxkey,Chorizon Designation Suffix Key,String,254,,,
chfrags,1,fragvol_l,Vol % - Low Value,Integer,,,percent,
chfrags,2,fragvol_r,Vol % - Representative Value,Integer,,,percent,
chfrags,3,fragvol_h,Vol % - High Value,Integer,,,percent,
chfrags,4,fragkind,Kind,Choice,254,,,fragment_kind
chfrags,5,fragsize_l,Size - Low Value,Integer,,,millimeters,
chfrags,6,fragsize_r,Size - Representative Value,Integer,,,millimeters,
chfrags,7,fragsize_h,Size - High Value,Integer,,,millimeters,
chfrags,8,fragshp,Shape,Choice,254,,,fragment_shape
chfrags,9,fraground,Roundness,Choice,254,,,fragment_roundness
chfrags,10,fraghard,Hardness,Choice,254,,,rupture_resist_block_cem
chfrags,11,chkey,Chorizon Key,String,254,,,
chfrags,12,chfragskey,Chorizon Fragments Key,String,254,,,
chorizon,1,hzname,Designation,String,12,,,
chorizon,2,desgndisc,Disc,Integer,,,,
chorizon,3,desgnmaster,Master,Choice,254,,,horz_desgn_master
chorizon,4,desgnmasterprime,Prime,Choice,254,,,horz_desgn_master_prime
