table_name,data_type,identifier,description,last_change,min_x,min_y,max_x,max_y,srs_id,rows,count_seconds,label,description_right,hierarchy_level,table_type,columns
cointerp,attributes,cointerp,"",2024-07-02T00:19:52.991Z,-179.2135797221,-14.37385520524579,179.8596506123369,71.44105909195729,4326,173476592,1.3004591671051458,Component Interpretation,The Component Interpretation table lists the predictions of behavior and limiting features for specified uses made for the referenced map unit component.,4,Tabular in Tabular,13
comonth,attributes,comonth,"",2024-07-02T00:19:53.038Z,-179.2135797221,-14.37385520524579,179.8596506123369,71.44105909195729,4326,12597512,0.1405716669978574,Component Month,The Component Month table lists the monthly flooding and ponding characteristics for the referenced map unit component.  This table has one row for each month of the year.,4,Tabular in Tabular,17
cosoilmoist,attributes,cosoilmoist,"",2024-07-02T00:19:53.684Z,-179.2135797221,-14.37385520524579,179.8596506123369,71.44105909195729,4326,8733721,0.09945525007788092,Component Soil Moisture,"The Component Soil Moisture table describes the typical soil moisture profile for the referenced map unit component during the month referenced in the Component Month table.  The soil moisture profiles for each month, taken as a group of twelve months, describe the representative situation for the component throughout the year.",5,Tabular in Tabular,9
chtexture,attributes,chtexture,"",2024-07-02T00:19:53.873Z,-179.2135797221,-14.37385520524579,179.8596506123369,71.44105909195729,4326,8158257,0.08192550006788224,Horizon Texture,"The Horizon Texture table lists the individual texture(s), or term(s) used in lieu of texture, for the referenced horizon.  Only the unmodified texture terms are listed in the Horizon Texture table; modifiers are listed in the Horizon Texture Modifier table.  For example, a gravelly loamy sand is shown as ""GR-LS"" in the Horizon Texture Group table, ""ls"" in the Horizon Texture table, and ""gr"" in the Horizon Texture Modifier table.",6,Tabular in Tabular,4
chtexturegrp,attributes,chtexturegrp,"",2024-07-02T00:19:53.559Z,-179.2135797221,-14.37385520524579,179.8596506123369,71.44105909195729,4326,8022269,0.09714166691992432,Horizon Texture Group,"The Horizon Texture Group table lists the range of textures for the referenced horizon as a concatenation of horizon texture and texture modifier(s).  For example, a horizon that is gravelly loamy sand in some places and gravelly loamy coarse sand in other places is shown as GR-LS on one row and GR-LCOS on another row in this table.  The row with the typically occurring texture is identified as the RV row.  Stratified textures are shown in one row.  For example, a horizon that is stratified gravelly loamy fine sand and cobbly coarse sand is shown as SR- GR-LFS CB-COS on one row and the Stratified? column for that row is marked ""yes"".  If two or more textures always occur together but are not stratified, all of the textures are listed on one row and the Stratified? column for that row is marked ""no"".",5,Tabular in Tabular,6
chunified,attributes,chunified,"",2024-07-02T00:19:53.592Z,-179.2135797221,-14.37385520524579,179.8596506123369,71.44105909195729,4326,6811403,0.08005475008394569,Horizon Unified,The Horizon Unified table contains the Unified Soil Classification(s) for the referenced horizon.  One row in the Horizon Unified table is marked as the representative Unified classification for the horizon.,5,Tabular in Tabular,4
chfrags,attributes,chfrags,"",2024-07-02T00:19:53.448Z,-179.2135797221,-14.37385520524579,179.8596506123369,71.44105909195729,4326,6483858,0.06395033304579556,Horizon Fragments,"The Horizon Fragments table lists the mineral and organic fragments that generally occur in the referenced horizon.  If the Volume % is greater than zero (low=5, RV=10, high=15) in a row, the kind and size of fragment in that row exists everywhere this horizon and component occur in the map unit.  If the Volume % includes zero (low=0, RV=5, high=10), the kind and size of fragment may exist in some places, but not in others.",5,Tabular in Tabular,12
chaashto,attributes,chaashto,"",2024-07-02T00:19:53.358Z,-179.2135797221,-14.37385520524579,179.8596506123369,71.44105909195729,4326,6266848,0.06873212498612702,Horizon AASHTO,The Horizon AASHTO table contains the American Association of State Highway Transportation Officials classification(s) for the referenced horizon.  One row in this table is marked as the representative AASHTO classification for the horizon.,5,Tabular in Tabular,4
copwindbreak,attributes,copwindbreak,"",2024-07-02T00:19:53.101Z,-179.2135797221,-14.37385520524579,179.8596506123369,71.44105909195729,4326,5645624,0.053332332987338305,Component Potential Windbreak,The Component Potential Windbreak table lists the windbreak plant species commonly recommended for the referenced map unit component.  A windbreak plant listed in this table may be used alone or in combination with other plants.,4,Tabular in Tabular,8
coeplants,attributes,coeplants,"",2024-07-02T00:19:52.849Z,-179.2135797221,-14.37385520524579,179.8596506123369,71.44105909195729,4326,4514608,0.05485199997201562,Component Existing Plants,"The Component Existing Plants table lists the plants, either rangeland or forestland plants, that typically occur on the referenced map unit component.",4,Tabular in Tabular,7
chorizon,attributes,chorizon,"",2024-07-02T00:19:52.708Z,-179.2135797221,-14.37385520524579,179.8596506123369,71.44105909195729,4326,3823045,0.05055054207332432,Horizon,"The Horizon table lists the horizon(s) and related data for the referenced map unit component.  If the horizon thickness is greater than zero (low=5, RV=8, high=12), the horizon exists everywhere this component occurs.  If the horizon thickness includes zero (low=0, RV=1, high=3), the horizon may exist in some places, but not in other places. Horizons that have two distinct parts, such as E/B or E&Bt horizons, are recorded twice.  Once for the characteristics of the first part; and again on another row, using the same depths and thicknesses, for the characteristics of the other part.",4,Tabular in Tabular,171
chstruct,attributes,chstruct,"",2024-07-02T00:19:53.857Z,-179.2135797221,-14.37385520524579,179.8596506123369,71.44105909195729,4326,3625581,0.0389207920525223,Horizon Structure,"The Horizon Structure table lists the individual soil structure size, grade, and shape terms for the referenced horizon.  Terms in this table are assembled into a structure group string which is recorded in the Horizon Structure Group table.",6,Tabular in Tabular,7
chstructgrp,attributes,chstructgrp,"",2024-07-02T00:19:53.495Z,-179.2135797221,-14.37385520524579,179.8596506123369,71.44105909195729,4326,2967914,0.031074542086571455,Horizon Structure Group,The Horizon Structure Group table lists the ranges of  soil structure for the referenced horizon.  The row with the typically occurring structure is marked as being representative.  The entry in this table is based on grouping of entries in the Horizon Structure table.,5,Tabular in Tabular,4
chtexturemod,attributes,chtexturemod,"",2024-07-02T00:19:53.904Z,-179.2135797221,-14.37385520524579,179.8596506123369,71.44105909195729,4326,2574598,0.033357542008161545,Horizon Texture Modifier,"The Horizon Texture Modifier table lists the texture modifier(s) for the referenced texture.  For example, a gravelly loamy sand is shown as ""GR-LS"" in the Horizon Texture Group table, ""ls"" in the Horizon Texture table, and ""gr"" in this table.",7,Tabular in Tabular,3
cogeomordesc,attributes,cogeomordesc,"",2024-07-02T00:19:52.944Z,-179.2135797221,-14.37385520524579,179.8596506123369,71.44105909195729,4326,2241554,0.03557833400554955,Component Geomorphic Description,The Component Geomorphic Description table lists the geomorphic features on which the referenced map unit component typically occurs.,4,Tabular in Tabular,8
chdesgnsuffix,attributes,chdesgnsuffix,"",2024-07-02T00:19:53.416Z,-179.2135797221,-14.37385520524579,179.8596506123369,71.44105909195729,4326,2063829,0.023771582986228168,Horizon Designation Suffix,"The Horizon Designation Suffix table contains the designation suffix(es), one per row,  for the referenced horizon.  For example, the ""h"" and ""s"" of a Bhs horizon appear as two rows in this table.",5,Tabular in Tabular,3
cocropyld,attributes,cocropyld,"",2024-07-02T00:19:52.776Z,-179.2135797221,-14.37385520524579,179.8596506123369,71.44105909195729,4326,1864146,0.026059750001877546,Component Crop Yield,The Component Crop Yield table lists commonly grown crops and their expected range in yields when grown on the referenced map unit component.  Yields for the map unit as a whole are given in the Mapunit Crop Yield table.,4,Tabular in Tabular,12
cotext,attributes,cotext,"",2024-07-02T00:19:53.248Z,-179.2135797221,-14.37385520524579,179.8596506123369,71.44105909195729,4326,1815390,0.022638667025603354,Component Text,"The Component Text table contains notes and narrative descriptions for the referenced map unit component.  In many cases, the table will be empty for a particular component.",4,Tabular in Tabular,7
cotreestomng,attributes,cotreestomng,"",2024-07-02T00:19:53.275Z,-179.2135797221,-14.37385520524579,179.8596506123369,71.44105909195729,4326,1771346,0.019550041994079947,Component Trees To Manage,The Component Trees To Manage table lists the trees commonly recommended for managing on the referenced map unit component.,4,Tabular in Tabular,5
muaoverlap,attributes,muaoverlap,"",2024-07-02T00:19:52.550Z,-179.2135797221,-14.37385520524579,179.8596506123369,71.44105909195729,4326,1646526,0.017594833974726498,Mapunit Area Overlap,The Mapunit Area Overlap table lists the map units that exist in the overlap between the entire soil survey area and the referenced geographic area in the Legend Area Overlap table.,3,Tabular in Tabular,4
coforprod,attributes,coforprod,"",2024-07-02T00:19:52.912Z,-179.2135797221,-14.37385520524579,179.8596506123369,71.44105909195729,4326,1595342,0.023219167022034526,Component Forest Productivity,The Component Forest Productivity table lists the site index and the annual productivity in cubic feet per acre per year (CAMI) of forest overstory tree species that typically occur on the referenced map unit component.,4,Tabular in Tabular,12
copm,attributes,copm,"",2024-07-02T00:19:53.652Z,-179.2135797221,-14.37385520524579,179.8596506123369,71.44105909195729,4326,1480378,0.019123791018500924,Component Parent Material,"The Component Parent Material table lists the individual parent material(s) for the referenced map unit component.    In some cases where soils developed in multiple materials in a vertical sequence, that sequence will be noted.  In other cases multiple entries with no vertical sequence noted indicates the soil may have formed in one of the materials listed.",5,Tabular in Tabular,7
cosurfmorphss,attributes,cosurfmorphss,"",2024-07-02T00:19:53.826Z,-179.2135797221,-14.37385520524579,179.8596506123369,71.44105909195729,4326,1413883,0.016937291948124766,Component Slope Shape Surface Morphometry,"The Component Slope Shape Surface Morphometry table lists the geomorphic shape(s) of the referenced map unit component, in slope shape terms.  The slope shape terms listed in this table apply to the referenced geomorphic feature shown in the Component Geomorphic Description table.",5,Tabular in Tabular,4
codiagfeatures,attributes,codiagfeatures,"",2024-07-02T00:19:52.803Z,-179.2135797221,-14.37385520524579,179.8596506123369,71.44105909195729,4326,1287787,0.02221037505660206,Component Diagnostic Features,"The Component Diagnostic Features table lists the typical soil features, such as ochric epipedon or cambic horizon, for the referenced map unit component.",4,Tabular in Tabular,12
coecoclass,attributes,coecoclass,"",2024-07-02T00:19:52.818Z,-179.2135797221,-14.37385520524579,179.8596506123369,71.44105909195729,4326,1232616,0.020092500024475157,Component Ecological Classification,"The Component Ecological Classification table identifies the ecological sites typically associated with the referenced map unit component.  These may include the official NRCS forestland and rangland ecological sites, as well as those of other classification systems, such as the USFS Habitat Types.",4,Tabular in Tabular,6
component,attributes,component,"",2024-07-02T00:19:52.503Z,-179.2135797221,-14.37385520524579,179.8596506123369,71.44105909195729,4326,1197685,0.016404291964136064,Component,"The Component table lists the map unit components identified in the referenced map unit, and selected properties of each component.  If the Component % is greater than zero (low=65, RV=75, high=90) for a component, that component exists in every delineation of that mapunit.  If the Component % includes zero (low=0, RV=50, high=90), the component may exist in some delineations, but not in others.",3,Tabular in Tabular,109
cosurfmorphgc,attributes,cosurfmorphgc,"",2024-07-02T00:19:53.737Z,-179.2135797221,-14.37385520524579,179.8596506123369,71.44105909195729,4326,1034256,0.012964041903614998,Component Three Dimensional Surface Morphometry,"The Component Three Dimensional Surface Morphometry table lists the typical geomorphic position (s) of the referenced map unit component, in three dimension terms.  The geomorphic position(s) listed in this table apply to the geomorphic feature referenced in the Component Geomorphic Description table.",5,Tabular in Tabular,6
copmgrp,attributes,copmgrp,"",2024-07-02T00:19:53.070Z,-179.2135797221,-14.37385520524579,179.8596506123369,71.44105909195729,4326,996510,0.014055583043955266,Component Parent Material Group,"The Component Parent Material Group table lists the concatenated string of parent material(s) in which the referenced map unit component formed based on entries in the Component Parent Material table.  For example, a component formed in one parent material, such as loess, or one vertical sequence of parent materials, such as loamy glacial drift over silty residuum weathered from shale, has one row in this table.  A component formed in one parent material in some locations, but another parent material (or sequence of parent materials) in other locations has two rows in this table, one for each parent material (or sequence of parent materials).  One row is identified as the representative parent material.",4,Tabular in Tabular,4
cotaxfmmin,attributes,cotaxfmmin,"",2024-07-02T00:19:53.180Z,-179.2135797221,-14.37385520524579,179.8596506123369,71.44105909195729,4326,975431,0.013068208936601877,Component Taxonomic Family Mineralogy,"The Component Taxonomic Family Mineralogy table lists the mineralogy characteristics, as defined in Soil Taxonomy, that apply to the referenced map unit component.",4,Tabular in Tabular,3
cosurfmorphhpp,attributes,cosurfmorphhpp,"",2024-07-02T00:19:53.763Z,-179.2135797221,-14.37385520524579,179.8596506123369,71.44105909195729,4326,964503,0.015539917047135532,Component Two Dimensional Surface Morphometry,"The Component Two Dimensional Surface Morphometry table lists the geomorphic position(s) of the referenced map unit component, in two dimensional hillslope profile terms.  The geomorphic position(s) listed in this table apply to the geomorphic feature referenced  in the Component Geomorphic Description table.",5,Tabular in Tabular,3
cotxfmother,attributes,cotxfmother,"",2024-07-02T00:19:53.306Z,-179.2135797221,-14.37385520524579,179.8596506123369,71.44105909195729,4326,886044,0.013598916004411876,Component Taxonomic Family Other Criteria,"The Component Taxonomic Family Other Criteria table lists the other taxonomic characteristics, such as classes of coatings or permanent cracks, as defined in Soil Taxonomy, that apply to the referenced map unit component.  The characteristics listed in this table describe the representative situation for the component.",4,Tabular in Tabular,3
chconsistence,attributes,chconsistence,"",2024-07-02T00:19:53.385Z,-179.2135797221,-14.37385520524579,179.8596506123369,71.44105909195729,4326,764385,0.012379083083942533,Horizon Consistence,"The Horizon Consistence table contains descriptive terms of soil consistence -- rupture resistance, plasticity, and stickiness -- for the referenced horizon.  One row in this table is marked as having the representative characteristics for the horizon.",5,Tabular in Tabular,10
cotaxmoistcl,attributes,cotaxmoistcl,"",2024-07-02T00:19:53.211Z,-179.2135797221,-14.37385520524579,179.8596506123369,71.44105909195729,4326,712737,0.0095920420717448,Component Taxonomic Moisture Class,"The Component Taxonomic Moisture Class table provides clear identification of the intended taxonomic moisture class, as defined in Soil Taxonomy, that apply to the referenced map unit component, even though moisture class is implied at a higher taxonomic level.  The class or classes listed in this table describe the representative situation for the component.",4,Tabular in Tabular,3
sainterp,attributes,sainterp,"",2024-07-02T00:19:52.188Z,-179.2135797221,-14.37385520524579,179.8596506123369,71.44105909195729,4326,480016,0.008546250057406723,Survey Area Interpretation,This table records information about the soil interpretations that were generated for a soil survey area.,1,Tabular in Tabular,9
mucropyld,attributes,mucropyld,"",2024-07-02T00:19:52.582Z,-179.2135797221,-14.37385520524579,179.8596506123369,71.44105909195729,4326,467258,0.0057789579732343554,Mapunit Crop Yield,The Mapunit Crop Yield table lists commonly grown crops and their expected yields for the referenced map unit as a whole.  Yields for individual map unit components are given in the Component Crop Yield table.,3,Tabular in Tabular,10
cocanopycover,attributes,cocanopycover,"",2024-07-02T00:19:52.740Z,-179.2135797221,-14.37385520524579,179.8596506123369,71.44105909195729,4326,375903,0.005958708003163338,Component Canopy Cover,The Component Canopy Cover table lists the overstory plants that typically occur on the referenced map unit component.,4,Tabular in Tabular,6
corestrictions,attributes,corestrictions,"",2024-07-02T00:19:53.133Z,-179.2135797221,-14.37385520524579,179.8596506123369,71.44105909195729,4326,362332,0.005948166945017874,Component Restrictions,"The Component Restrictions table lists the root restrictive feature(s) or layer(s) for the referenced map unit component.  If the thickness of the restrictive layer is greater than zero (low=5, RV=8, high=10), the restrictive layer exists in all delineations of the map unit where the component occurs.  If the thickness of the restrictive layer includes zero (low=0, RV=2, high=5), the restrictive layer may exist in some delineations, but not in others.  This table will be empty if the component does not have restrictive features, but could have several rows if several restrictive features occur in the soil.",4,Tabular in Tabular,13
mapunit,attributes,mapunit,"",2024-07-02T00:19:52.345Z,-179.2135797221,-14.37385520524579,179.8596506123369,71.44105909195729,4326,331106,0.006000082939863205,Mapunit,The Mapunit table identifies the map units included in the referenced legend.  Data related the map unit as a whole are also given.,2,Tabular in Tabular,24
muaggatt,attributes,muaggatt,"",2024-07-02T00:19:52.536Z,-179.2135797221,-14.37385520524579,179.8596506123369,71.44105909195729,4326,330642,0.17051104200072587,Mapunit Aggregated Attribute,The Mapunit Aggregated Attribute table records a variety of soil attributes and interpretations that have been aggregated from the component level to a single value at the map unit level. They have been aggregated by one or more appropriate means in order to express a consolidated value or interpretation for the map unit as a whole.,3,Tabular in Tabular,40
cosurffrags,attributes,cosurffrags,"",2024-07-02T00:19:53.149Z,-179.2135797221,-14.37385520524579,179.8596506123369,71.44105909195729,4326,318912,0.0065257089445367455,Component Surface Fragments,"The Component Surface Fragments table lists the organic or mineral fragments that generally occur on the surface of the referenced map unit component.  If the cover percent is greater than zero (low=0.1, RV=1, high=3) for a row in this table, the fragment is in every delineation of the map unit where the referenced component occurs.  If the Cover % includes zero (low=0, RV=0.01, high=1) for a row in this table, the fragment may exist in some delineations and not in others.",4,Tabular in Tabular,15
cohydriccriteria,attributes,cohydriccriteria,"",2024-07-02T00:19:52.960Z,-179.2135797221,-14.37385520524579,179.8596506123369,71.44105909195729,4326,284537,0.005272915936075151,Component Hydric Criteria,"The Component Hydric Criteria table lists the hydric soil criteria met for those referenced map unit components that are classified as a ""hydric soil.""",4,Tabular in Tabular,3
cosoiltemp,attributes,cosoiltemp,"",2024-07-02T00:19:53.715Z,-179.2135797221,-14.37385520524579,179.8596506123369,71.44105909195729,4326,279889,0.0046667910646647215,Component Soil Temperature,"The Component Soil Temperature table describes the typical soil temperature profile for the referenced map unit component during the month referenced in the Component Month table.  The soil temperature profiles for each month, taken as a group of twelve months, describe the representative situation for the component throughout the year.",5,Tabular in Tabular,9
chpores,attributes,chpores,"",2024-07-02T00:19:53.464Z,-179.2135797221,-14.37385520524579,179.8596506123369,71.44105909195729,4326,270319,0.004200957948341966,Horizon Pores,"The Horizon Pores table lists the voids for the referenced horizon.  If the Quantity is greater than zero (low=2, RV=5, high=10) in a row, the voids in that row exist everywhere the horizon and component occur in the map unit.  If the Quantity includes zero (low=0, RV=2, high=5), the voids may exist in some places, but not in others.  More than one row can be marked as an RV row because a horizon may have more than one size or shape of void.",5,Tabular in Tabular,9
coerosionacc,attributes,coerosionacc,"",2024-07-02T00:19:52.880Z,-179.2135797221,-14.37385520524579,179.8596506123369,71.44105909195729,4326,225227,0.005819959100335836,Component Erosion Accelerated,The Component Erosion Accelerated table lists the kinds of accelerated erosion that occur on the referenced map unit component.  One row in this table is marked as the representative kind of accelerated erosion for that component.,4,Tabular in Tabular,4
mutext,attributes,mutext,"",2024-07-02T00:19:52.693Z,-179.2135797221,-14.37385520524579,179.8596506123369,71.44105909195729,4326,183168,0.003634665976278484,Mapunit Text,The Mapunit Text table contains notes and narrative descriptions related to the referenced map unit.,3,Tabular in Tabular,7
chtext,attributes,chtext,"",2024-07-02T00:19:53.536Z,-179.2135797221,-14.37385520524579,179.8596506123369,71.44105909195729,4326,136494,0.0029492919566109776,Horizon Text,"The Horizon Text table contains notes and narrative descriptions related to the referenced horizon.  Some notes may provide additional information about the horizon for which there is no explicit column for such data.  In many cases, the table is empty for a particular horizon.",5,Tabular in Tabular,7
cosurfmorphmr,attributes,cosurfmorphmr,"",2024-07-02T00:19:53.799Z,-179.2135797221,-14.37385520524579,179.8596506123369,71.44105909195729,4326,35494,0.0019997500348836184,Component Microrelief Surface Morphometry,The Component Microrelief Surface Morphometry table lists microrelief features associated with the referenced geomorphic (microfeature) feature shown in the Component Geomorphic Description table.,5,Tabular in Tabular,3
laoverlap,attributes,laoverlap,"",2024-07-02T00:19:52.298Z,-179.2135797221,-14.37385520524579,179.8596506123369,71.44105909195729,4326,26973,0.001573332934640348,Legend Area Overlap,"The Legend Area Overlap table lists the geographic areas that are coincident with the soil survey area identified in the Legend table.  For example, a survey area that covers two counties would have two rows in this table, one for each county.  Other types of geographic areas listed might include state, MLRA, rainfall (R) factor area, climate (C) factor area, etc.",2,Tabular in Tabular,6
coforprodo,attributes,coforprodo,"",2024-07-02T00:19:53.621Z,-179.2135797221,-14.37385520524579,179.8596506123369,71.44105909195729,4326,17593,0.0008809999562799931,Component Forest Productivity - Other,The Component Forest Productivity - Other table lists the site index and annual productivity of forest overstory tree species in units other than cubic feet per acre per year for trees that typically occur on the referenced map unit component.,5,Tabular in Tabular,10
mdstatdomdet,attributes,mdstatdomdet,"",2024-07-02T00:19:52.015Z,-179.2135797221,-14.37385520524579,179.8596506123369,71.44105909195729,4326,6959,0.0031922089401632547,Domain Detail Static Metadata,The Domain Detail Static Metadata table records the individual domain members for all domains associated with the tabular data set.  Each record in this table represents one member of a particular domain.,1,Metadata,5
