table_name,column_sequence,column_name,label,logical_type,field_size,precision,units,domain_name,property_family,estimate
chorizon,2,desgndisc,Disc,Integer,,,,,desgndisc,single
chorizon,5,desgnvert,Sub,Integer,,,,,desgnvert,single
chorizon,6,hzdept_l,Top Depth - Low Value,Integer,,,centimeters,,hzdept,low
chorizon,7,hzdept_r,Top Depth - Representative Value,Integer,,,centimeters,,hzdept,representative
chorizon,8,hzdept_h,Top Depth - High Value,Integer,,,centimeters,,hzdept,high
chorizon,9,hzdepb_l,Bottom Depth - Low Value,Integer,,,centimeters,,hzdepb,low
chorizon,10,hzdepb_r,Bottom Depth - Representative Value,Integer,,,centimeters,,hzdepb,representative
chorizon,11,hzdepb_h,Bottom Depth - High Value,Integer,,,centimeters,,hzdepb,high
chorizon,12,hzthk_l,Thickness - Low Value,Integer,,,centimeters,,hzthk,low
chorizon,13,hzthk_r,Thickness - Representative Value,Integer,,,centimeters,,hzthk,representative
chorizon,14,hzthk_h,Thickness - High Value,Integer,,,centimeters,,hzthk,high
chorizon,15,fraggt10_l,Rock >10 - Low Value,Integer,,,percent,,fraggt10,low
chorizon,16,fraggt10_r,Rock >10 - Representative Value,Integer,,,percent,,fraggt10,representative
chorizon,17,fraggt10_h,Rock >10 - High Value,Integer,,,percent,,fraggt10,high
chorizon,18,frag3to10_l,Rock 3-10 - Low Value,Integer,,,percent,,frag3to10,low
chorizon,19,frag3to10_r,Rock 3-10 - Representative Value,Integer,,,percent,,frag3to10,representative
chorizon,20,frag3to10_h,Rock 3-10 - High Value,Integer,,,percent,,frag3to10,high
chorizon,21,sieveno4_l,#4 - Low Value,Float,,1,percent,,sieveno4,low
chorizon,22,sieveno4_r,#4 - Representative Value,Float,,1,percent,,sieveno4,representative
chorizon,23,sieveno4_h,#4 - High Value,Float,,1,percent,,sieveno4,high
chorizon,24,sieveno10_l,#10 - Low Value,Float,,1,percent,,sieveno10,low
chorizon,25,sieveno10_r,#10 - Representative Value,Float,,1,percent,,sieveno10,representative
chorizon,26,sieveno10_h,#10 - High Value,Float,,1,percent,,sieveno10,high
chorizon,27,sieveno40_l,#40 - Low Value,Float,,1,percent,,sieveno40,low
chorizon,28,sieveno40_r,#40 - Representative Value,Float,,1,percent,,sieveno40,representative
chorizon,29,sieveno40_h,#40 - High Value,Float,,1,percent,,sieveno40,high
chorizon,30,sieveno200_l,#200 - Low Value,Float,,1,percent,,sieveno200,low
chorizon,31,sieveno200_r,#200 - Representative Value,Float,,1,percent,,sieveno200,representative
chorizon,32,sieveno200_h,#200 - High Value,Float,,1,percent,,sieveno200,high
chorizon,33,sandtotal_l,Total Sand - Low Value,Float,,1,percent,,sandtotal,low
chorizon,34,sandtotal_r,Total Sand - Representative Value,Float,,1,percent,,sandtotal,representative
chorizon,35,sandtotal_h,Total Sand - High Value,Float,,1,percent,,sandtotal,high
chorizon,36,sandvc_l,vcos - Low Value,Float,,1,percent,,sandvc,low
chorizon,37,sandvc_r,vcos - Representative Value,Float,,1,percent,,sandvc,representative
