region_group,vat_rows,unique_mukeys,mapped_pixels,min_mukey,max_mukey
alaska,5115,5115,1857519094,49315,3477633
american_samoa,36,36,222945,465394,465429
conus,322885,322885,8755446629,52231,3478609
fed_states_micronesia,94,94,717347,465430,3003471
guam,56,56,616876,465524,465579
hawaii,1221,1221,19340368,467795,3422945
marshall_is,9,9,19676,465580,465588
mexico,25,25,156173,2433479,2433505
northern_mariana_is,104,104,520999,465589,2911438
palau,61,61,514300,1859240,1904872
puerto_rico,759,759,15183390,326380,3349465
virgin_is,68,68,2109193,3134430,3134497
