kind,region_group,source_filename,bytes,width,height,pixels,dtype,nodata,crs,resolution_x,resolution_y,left,bottom,right,top,block_y,block_x,tiled,compression,overview_factors,transform
mukey,alaska,muraster_30m_Alaska.tif,99077956,122295,65835,8051291325,uint32,0.0,EPSG:3338,30.0,30.0,-2175735.0,408855.0,1493115.0,2383905.0,1,122295,false,deflate,"2,4,8,16,32,64,128,256","30.0,0.0,-2175735.0,0.0,-30.0,2383905.0"
survey_area,alaska,SARASTER_30m_AK_2026.tif,467345085,122295,65835,8051291325,int32,-2147483647.0,EPSG:3338,30.0,30.0,-2175735.0,408855.0,1493115.0,2383905.0,128,128,true,lzw,"","30.0,0.0,-2175735.0,0.0,-30.0,2383905.0"
mukey,american_samoa,muraster_30m_American_Samoa.tif,91720,5264,805,4237520,uint32,0.0,EPSG:4326,0.00027131,0.00027131,-170.846755755,-14.373868145,-169.418579915,-14.155463594999999,1,5264,false,deflate,"","0.00027131,0.0,-170.846755755,0.0,-0.00027131,-14.155463594999999"
survey_area,american_samoa,SARASTER_30m_American_Samoa_2026.tif,142924,5264,805,4237520,uint16,65535.0,EPSG:4326,0.00027130999999999895,0.0002713099999999987,-170.846755755,-14.373868144999998,-169.418579915,-14.155463594999999,128,128,true,lzw,"2,4","0.00027130999999999895,0.0,-170.846755755,0.0,-0.0002713099999999987,-14.155463594999999"
mukey,conus,MURASTER_30m_CONUS_2026.tif,2850058738,153996,97053,14945773788,uint32,0.0,EPSG:5070,30.0,30.0,-2356125.0,260985.0,2263755.0,3172575.0,128,128,true,lzw,"2,4,8,16,32,64,128","30.0,0.0,-2356125.0,0.0,-30.0,3172575.0"
survey_area,conus,SARASTER_30m_CONUS_2026.tif,1002511039,153996,97053,14945773788,int32,-2147483647.0,EPSG:5070,30.0,30.0,-2356125.0,260985.0,2263755.0,3172575.0,128,128,true,lzw,"2,4,8,16,32,64,128","30.0,0.0,-2356125.0,0.0,-30.0,3172575.0"
mukey,fed_states_micronesia,muraster_30m_Fed_States_Micronesia_2026.tif,7386545,92073,17599,1620392727,uint32,0.0,EPSG:4326,0.00027131,0.00027131,138.05487260499999,5.258937385,163.035198235,10.033722075,1,92073,false,deflate,"2,4,8,16,32","0.00027131,0.0,138.05487260499999,0.0,-0.00027131,10.033722075"
survey_area,fed_states_micronesia,SARASTER_30m_Fed_States_Micronesia_2026.tif,32948859,92073,17599,1620392727,uint16,65535.0,EPSG:4326,0.0002713100000000001,0.0002713100000000001,138.05487260499999,5.258937385,163.035198235,10.033722075000002,128,128,true,lzw,"2,4,8,16,32,64","0.0002713100000000001,0.0,138.05487260499999,0.0,-0.0002713100000000001,10.033722075000002"
mukey,guam,muraster_30m_Guam.tif,200456,1249,1549,1934701,uint32,0.0,EPSG:4326,0.00027131,0.00027131,144.61813281499997,13.234094835,144.95699900499997,13.654354025,1,1249,false,deflate,"2,4,8,16,31","0.00027131,0.0,144.61813281499997,0.0,-0.00027131,13.654354025"
survey_area,guam,SARASTER_30m_Guam_2026.tif,90840,1249,1549,1934701,uint16,65535.0,EPSG:4326,0.0002713100000000036,0.00027130999999999965,144.61813281499997,13.234094835,144.95699900499997,13.654354025,128,128,true,lzw,2,"0.0002713100000000036,0.0,144.61813281499997,0.0,-0.00027130999999999965,13.654354025"
mukey,hawaii,muraster_30m_Hawaii.tif,4111244,18360,12252,224946720,uint32,0.0,EPSG:4326,0.00027131,0.00027131,-159.78816015499999,18.910985274999994,-154.80690855499998,22.235075394999996,1,18360,false,deflate,"2,4,8,16,32","0.00027131,0.0,-159.78816015499999,0.0,-0.00027131,22.235075394999996"
survey_area,hawaii,SARASTER_30m_HI_2026.tif,5183627,18360,12252,224946720,uint16,65535.0,EPSG:4326,0.0002713100000000004,0.0002713100000000004,-159.78816015499999,18.910985274999994,-154.80690855499998,22.235075395,128,128,true,lzw,"2,4,8,16","0.0002713100000000004,0.0,-159.78816015499999,0.0,-0.0002713100000000004,22.235075395"
