table_name,label,rows,columns,plan_group,join_path,cardinality,output_dimensions,rasterization,priority
distinterpmd,Distribution Interp Metadata,0,8,distribution_metadata,distribution metadata keys,release/process metadata,none,"root/group metadata, never repeat per pixel",0
distlegendmd,Distribution Legend Metadata,0,11,distribution_metadata,distribution metadata keys,release/process metadata,none,"root/group metadata, never repeat per pixel",0
distmd,Distribution Metadata,0,4,distribution_metadata,distribution metadata keys,release/process metadata,none,"root/group metadata, never repeat per pixel",0
featdesc,Feature Description,0,6,vector_or_empty,geometry or empty tables,survey geometry or no records,vector sidecar / none,do not reburn; SARASTER already supplies survey pixels,0
featline,Feature Line,0,6,vector_or_empty,geometry or empty tables,survey geometry or no records,vector sidecar / none,do not reburn; SARASTER already supplies survey pixels,0
featpoint,Feature Point,0,6,vector_or_empty,geometry or empty tables,survey geometry or no records,vector sidecar / none,do not reburn; SARASTER already supplies survey pixels,0
mdstatdomdet,Domain Detail Static Metadata,6959,5,structural_metadata,schema/domain/SDV keys,metadata and algorithms,none,retain as metadata that defines raster variables,0
mdstatdommas,Domain Master Static Metadata,123,2,structural_metadata,schema/domain/SDV keys,metadata and algorithms,none,retain as metadata that defines raster variables,0
mdstatidxdet,Index Detail Static Metadata,201,4,structural_metadata,schema/domain/SDV keys,metadata and algorithms,none,retain as metadata that defines raster variables,0
mdstatidxmas,Index Master Static Metadata,178,3,structural_metadata,schema/domain/SDV keys,metadata and algorithms,none,retain as metadata that defines raster variables,0
mdstatrshipdet,Relationship Detail Static Metadata,81,5,structural_metadata,schema/domain/SDV keys,metadata and algorithms,none,retain as metadata that defines raster variables,0
mdstatrshipmas,Relationship Master Static Metadata,78,5,structural_metadata,schema/domain/SDV keys,metadata and algorithms,none,retain as metadata that defines raster variables,0
mdstattabcols,Table Column Static Metadata,884,14,structural_metadata,schema/domain/SDV keys,metadata and algorithms,none,retain as metadata that defines raster variables,0
mdstattabs,Table Static Metadata,77,8,structural_metadata,schema/domain/SDV keys,metadata and algorithms,none,retain as metadata that defines raster variables,0
month,Month,12,2,structural_metadata,schema/domain/SDV keys,metadata and algorithms,none,retain as metadata that defines raster variables,0
muline,Mapunit Line,0,6,vector_or_empty,geometry or empty tables,survey geometry or no records,vector sidecar / none,do not reburn; SARASTER already supplies survey pixels,0
mupoint,Mapunit Point,0,6,vector_or_empty,geometry or empty tables,survey geometry or no records,vector sidecar / none,do not reburn; SARASTER already supplies survey pixels,0
mupolygon,Mapunit Polygon,0,6,vector_or_empty,geometry or empty tables,survey geometry or no records,vector sidecar / none,do not reburn; SARASTER already supplies survey pixels,0
sacatalogmbr,Survey Area Catalog Mininum Bounding Rectangle,0,6,vector_or_empty,geometry or empty tables,survey geometry or no records,vector sidecar / none,do not reburn; SARASTER already supplies survey pixels,0
sapolygon,Survey Area Polygon,5944,5,vector_or_empty,geometry or empty tables,survey geometry or no records,vector sidecar / none,do not reburn; SARASTER already supplies survey pixels,0
sdvalgorithm,SDV Algorithm,8,4,structural_metadata,schema/domain/SDV keys,metadata and algorithms,none,retain as metadata that defines raster variables,0
sdvattribute,SDV Attribute,630,53,structural_metadata,schema/domain/SDV keys,metadata and algorithms,none,retain as metadata that defines raster variables,0
sdvfolder,SDV Folder,20,6,structural_metadata,schema/domain/SDV keys,metadata and algorithms,none,retain as metadata that defines raster variables,0
sdvfolderattribute,SDV Folder Attribute,630,2,structural_metadata,schema/domain/SDV keys,metadata and algorithms,none,retain as metadata that defines raster variables,0
systemtemplateinformation,System Template Information,11,4,structural_metadata,schema/domain/SDV keys,metadata and algorithms,none,retain as metadata that defines raster variables,0
legend,Legend,3388,14,direct_survey_area,mukey -> mapunit.lkey -> legend; areasymbol -> sacatalog,one survey record per pixel,"(y, x)",lossless lookup; prefer SARASTER VAT where equivalent,1
mapunit,Mapunit,331106,24,direct_map_unit,mukey,one row per mukey,"(y, x)",lossless direct lookup,1
muaggatt,Mapunit Aggregated Attribute,330642,40,direct_map_unit,mukey,one row per mukey,"(y, x)",lossless direct lookup,1
sacatalog,Survey Area Catalog,3388,11,direct_survey_area,mukey -> mapunit.lkey -> legend; areasymbol -> sacatalog,one survey record per pixel,"(y, x)",lossless lookup; prefer SARASTER VAT where equivalent,1
chorizon,Horizon,3823045,171,horizon_base,mukey -> component -> chorizon,components by irregular horizon depths,"(depth_interval, statistic, y, x)",depth-overlap weighting followed by component-percent weighting,2
cointerp,Component Interpretation,173476592,13,component_interpretation,mukey -> component -> cointerp,component by interpretation rule,"(interpretation, y, x)",apply each sdvattribute algorithm and tie-break rule,2
comonth,Component Month,12597512,17,component_month,mukey -> component -> comonth,"component by month, sometimes depth","(month[, depth], y, x)","aggregate within month/depth, then by component percent",2
component,Component,1197685,109,component_base,mukey -> component,multiple components per mukey,"(statistic, y, x)",component-percent weighted numeric; dominant component/condition categorical,2
cosoilmoist,Component Soil Moisture,8733721,9,component_month,mukey -> component -> comonth,"component by month, sometimes depth","(month[, depth], y, x)","aggregate within month/depth, then by component percent",2
cosoiltemp,Component Soil Temperature,279889,9,component_month,mukey -> component -> comonth,"component by month, sometimes depth","(month[, depth], y, x)","aggregate within month/depth, then by component percent",2
chaashto,Horizon AASHTO,6266848,4,dimensioned_horizon,mukey -> component -> chorizon -> child table,multiple horizon child rows/categories,"(depth_interval, category, y, x) or lookup",representative child row plus depth/component aggregation,3
chconsistence,Horizon Consistence,764385,10,dimensioned_horizon,mukey -> component -> chorizon -> child table,multiple horizon child rows/categories,"(depth_interval, category, y, x) or lookup",representative child row plus depth/component aggregation,3
chdesgnsuffix,Horizon Designation Suffix,2063829,3,dimensioned_horizon,mukey -> component -> chorizon -> child table,multiple horizon child rows/categories,"(depth_interval, category, y, x) or lookup",representative child row plus depth/component aggregation,3
chfrags,Horizon Fragments,6483858,12,dimensioned_horizon,mukey -> component -> chorizon -> child table,multiple horizon child rows/categories,"(depth_interval, category, y, x) or lookup",representative child row plus depth/component aggregation,3
chpores,Horizon Pores,270319,9,dimensioned_horizon,mukey -> component -> chorizon -> child table,multiple horizon child rows/categories,"(depth_interval, category, y, x) or lookup",representative child row plus depth/component aggregation,3
chstruct,Horizon Structure,3625581,7,dimensioned_horizon,mukey -> component -> chorizon -> child table,multiple horizon child rows/categories,"(depth_interval, category, y, x) or lookup",representative child row plus depth/component aggregation,3
chstructgrp,Horizon Structure Group,2967914,4,dimensioned_horizon,mukey -> component -> chorizon -> child table,multiple horizon child rows/categories,"(depth_interval, category, y, x) or lookup",representative child row plus depth/component aggregation,3
chtext,Horizon Text,136494,7,dimensioned_horizon,mukey -> component -> chorizon -> child table,multiple horizon child rows/categories,"(depth_interval, category, y, x) or lookup",representative child row plus depth/component aggregation,3
chtexture,Horizon Texture,8158257,4,dimensioned_horizon,mukey -> component -> chorizon -> child table,multiple horizon child rows/categories,"(depth_interval, category, y, x) or lookup",representative child row plus depth/component aggregation,3
chtexturegrp,Horizon Texture Group,8022269,6,dimensioned_horizon,mukey -> component -> chorizon -> child table,multiple horizon child rows/categories,"(depth_interval, category, y, x) or lookup",representative child row plus depth/component aggregation,3
chtexturemod,Horizon Texture Modifier,2574598,3,dimensioned_horizon,mukey -> component -> chorizon -> child table,multiple horizon child rows/categories,"(depth_interval, category, y, x) or lookup",representative child row plus depth/component aggregation,3
chunified,Horizon Unified,6811403,4,dimensioned_horizon,mukey -> component -> chorizon -> child table,multiple horizon child rows/categories,"(depth_interval, category, y, x) or lookup",representative child row plus depth/component aggregation,3
cocanopycover,Component Canopy Cover,375903,6,dimensioned_component,mukey -> component -> child table,multiple components and child categories,"(category[, statistic], y, x) or lookup",select representative rows or preserve explicit category,3
cocropyld,Component Crop Yield,1864146,12,dimensioned_component,mukey -> component -> child table,multiple components and child categories,"(category[, statistic], y, x) or lookup",select representative rows or preserve explicit category,3
codiagfeatures,Component Diagnostic Features,1287787,12,dimensioned_component,mukey -> component -> child table,multiple components and child categories,"(category[, statistic], y, x) or lookup",select representative rows or preserve explicit category,3
