attributekey,attributename,attributetablename,attributecolumnname,attributelogicaldatatype,effectivelogicaldatatype,attributeuom,attributetype,mapunitlevelattribflag,complevelattribflag,cmonthlevelattribflag,horzlevelattribflag,algorithmname,componentpercentcutoff,tiebreakrule,tiebreaklowlabel,tiebreakhighlabel,depthqualifiermode,layerdepthtotop,layerdepthtobottom,beginningmonth,endingmonth,interpnullsaszeroflag,nullratingreplacementvalue
2753,Agricultural Organic Soil Subsidence,cointerp,interphrc,String,String,,Interpretation,0,1,0,0,Dominant Condition,,1,,,,,,,,0,
530,"Agronomic Concerns, Available Water Capacity (ND)",cointerp,interphrc,String,String,,Interpretation,0,1,0,0,Dominant Condition,,1,,,,,,,,0,
531,"Agronomic Concerns, Natural Fertility (ND)",cointerp,interphrc,String,String,,Interpretation,0,1,0,0,Dominant Condition,,1,,,,,,,,0,
542,"Agronomic Concerns, Physical Limitations (ND)",cointerp,interphrc,String,String,,Interpretation,0,1,0,0,Dominant Condition,,1,,,,,,,,0,
534,"Agronomic Concerns, Rooting Depth (ND)",cointerp,interphrc,String,String,,Interpretation,0,1,0,0,Dominant Condition,,1,,,,,,,,0,
535,"Agronomic Concerns, Sodicity (ND)",cointerp,interphrc,String,String,,Interpretation,0,1,0,0,Dominant Condition,,1,,,,,,,,0,
536,"Agronomic Concerns, Subsurface Salinity (ND)",cointerp,interphrc,String,String,,Interpretation,0,1,0,0,Dominant Condition,,1,,,,,,,,0,
538,"Agronomic Concerns, Surface Salinity (ND)",cointerp,interphrc,String,String,,Interpretation,0,1,0,0,Dominant Condition,,1,,,,,,,,0,
541,"Agronomic Concerns, Wind Erosion (ND)",cointerp,interphrc,String,String,,Interpretation,0,1,0,0,Dominant Condition,,1,,,,,,,,0,
500,Air Quality PM10 (TX),cointerp,interphrc,String,String,,Interpretation,0,1,0,0,Dominant Condition,,1,,,,,,,,0,
501,Air Quality PM2_5 (TX),cointerp,interphrc,String,String,,Interpretation,0,1,0,0,Dominant Condition,,1,,,,,,,,0,
2788,Alaska Exempt Wetland Potential (AK),cointerp,interphrc,String,String,,Interpretation,0,1,0,0,Dominant Condition,,1,,,,,,,,0,
2913,American Wine Grape Varieties Site Suitability (Long),cointerp,interphrc,String,String,,Interpretation,0,1,0,0,Dominant Condition,,1,,,,,,,,0,
2917,American Wine Grape Varieties Site Suitability (Med),cointerp,interphrc,String,String,,Interpretation,0,1,0,0,Dominant Condition,,1,,,,,,,,0,
2918,American Wine Grape Varieties Site Suitability (Short),cointerp,interphrc,String,String,,Interpretation,0,1,0,0,Dominant Condition,,1,,,,,,,,0,
2919,American Wine Grape Varieties Site Suitability (Very Long),cointerp,interphrc,String,String,,Interpretation,0,1,0,0,Dominant Condition,,1,,,,,,,,0,
2784,Animal Disposal by Composting (Catastrophic) (WV),cointerp,interphrc,String,String,,Interpretation,0,1,0,0,Dominant Condition,,1,,,,,,,,0,
420,Aquifer Assessment (MN),cointerp,interphrc,String,String,,Interpretation,0,1,0,0,Dominant Component,,1,,,,,,,,0,
